	TARGET-20-PAUVBS	TARGET-20-PAUVGD	TARGET-20-PAUVXU	TARGET-20-PAUWCF	TARGET-20-PAUXLK	TARGET-20-PAUXNM	TARGET-20-PAUYDT	TARGET-20-PAVAGA	TARGET-20-PAVFYL	TARGET-20-PAVLKB	TARGET-20-PAVLWY	TARGET-20-PAVPKA	TARGET-20-PAVSWX	TARGET-20-PAWCAW	TARGET-20-PAWFZT	TARGET-20-PAWTWW	TARGET-20-PAWXZJ	TARGET-20-PAWYTW	TARGET-20-PAXGVH	TARGET-20-PAXJVE
AC010335.2	50	34	21	64	19	50	48	21	89	86	465	23	55	10	37	339	46	29	46	62
AC010335.3	50	35	21	64	19	50	48	21	88	87	467	24	54	10	37	338	46	29	46	62
AC010336.1	9	11	27	15	13	38	24	25	34	10	14	14	32	43	10	6	7	6	39	1
AC010336.2	25	10	12	12	2	10	19	0	22	14	22	21	34	2	3	7	10	1	16	15
AC010336.3	2	1	1	0	0	0	2	5	2	0	2	3	3	1	0	0	0	0	1	0
AC010336.4	310	322	374	289	186	391	438	200	502	279	995	462	1403	245	220	339	496	129	306	327
AC010336.5	102	69	101	93	51	76	90	28	59	60	91	56	107	70	41	31	61	23	80	52
AC010336.6	88	100	36	46	41	94	58	2	53	57	26	58	127	78	121	33	47	21	68	54
AC010336.7	107	121	47	44	37	85	80	26	83	90	34	31	144	56	100	31	52	22	138	33
AC010338.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010342.1	0	0	2	3	1	0	23	1	3	1	51	10	4	3	0	4	3	1	0	0
AC010343.1	122	234	144	264	210	74	138	12	98	96	309	58	345	170	64	38	126	73	45	98
AC010343.2	0	1	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0
AC010343.3	1	18	1	1	17	0	2	0	1	2	2	1	7	12	2	0	1	0	1	0
AC010350.1	0	0	0	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
AC010359.1	104	73	45	74	50	139	36	8	66	39	29	40	73	33	62	54	46	34	60	44
AC010359.2	31	13	16	15	8	11	10	11	39	8	20	23	24	5	8	8	8	12	23	8
AC010359.3	752	336	365	381	324	653	327	105	491	188	97	141	300	183	428	202	202	229	331	165
AC010368.1	0	0	5	22	0	0	33	2	0	2	0	0	5	0	2	1	0	6	1	3
AC010374.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC010374.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010376.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010378.1	1	5	219	3	3	11	2	8	1	140	3	0	16	9	6	2	3	30	3	7
AC010385.1	0	0	0	0	0	0	0	0	0	0	5	0	6	0	1	0	2	0	0	0
