	TARGET-20-PAUVBS	TARGET-20-PAUVGD	TARGET-20-PAUVXU	TARGET-20-PAUWCF	TARGET-20-PAUXLK	TARGET-20-PAUXNM	TARGET-20-PAUYDT	TARGET-20-PAVAGA	TARGET-20-PAVFYL	TARGET-20-PAVLKB	TARGET-20-PAVLWY	TARGET-20-PAVPKA	TARGET-20-PAVSWX	TARGET-20-PAWCAW	TARGET-20-PAWFZT	TARGET-20-PAWTWW	TARGET-20-PAWXZJ	TARGET-20-PAWYTW	TARGET-20-PAXGVH	TARGET-20-PAXJVE
RNU6-631P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-632P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-633P	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RNU6-634P	4	1	1	0	3	0	0	0	0	1	0	0	2	2	0	0	0	0	1	0
RNU6-635P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-636P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-637P	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RNU6-638P	42	92	41	146	100	161	58	46	93	145	68	277	224	48	122	173	103	114	55	132
RNU6-639P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-63P	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
RNU6-640P	12	14	8	3	2	3	10	0	6	2	3	7	2	5	8	4	5	3	3	3
RNU6-641P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-642P	3	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1
RNU6-643P	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
RNU6-644P	13	9	8	25	7	0	14	2	0	7	1	20	16	10	21	7	2	6	4	11
RNU6-645P	20	122	64	138	95	143	88	37	128	100	21	20	130	45	58	36	98	57	30	208
RNU6-646P	0	2	2	2	0	0	1	2	0	2	1	4	1	2	0	0	2	3	9	0
RNU6-647P	0	0	3	1	4	0	1	0	2	2	0	2	1	4	0	1	0	1	0	1
RNU6-648P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-649P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-64P	4	1	1	2	6	0	0	3	2	0	0	1	3	1	8	1	1	2	0	2
RNU6-650P	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-651P	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
RNU6-652P	7	23	11	25	14	6	14	0	7	11	8	32	26	30	24	13	18	23	20	10
RNU6-653P	0	11	11	7	6	5	4	3	10	5	0	2	1	3	0	1	6	5	24	7
RNU6-654P	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-655P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-656P	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RNU6-657P	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RNU6-658P	11	7	9	9	20	18	12	9	7	2	6	13	22	15	22	10	5	17	6	8
RNU6-659P	1	0	2	0	0	2	0	2	0	0	0	2	0	0	0	0	0	1	0	0
RNU6-65P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-660P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-661P	2	0	0	0	6	0	0	0	0	0	0	2	2	3	2	2	1	1	3	1
RNU6-662P	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
RNU6-663P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-664P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-665P	0	5	3	3	4	0	5	0	1	1	1	1	1	5	2	1	5	3	0	4
RNU6-666P	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
RNU6-667P	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
RNU6-668P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-669P	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RNU6-66P	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RNU6-670P	5	5	3	2	1	9	4	5	1	3	0	8	4	2	0	5	2	0	2	0
RNU6-672P	60	36	21	9	26	0	24	18	10	5	6	11	3	32	8	7	10	11	12	18
RNU6-673P	5	20	17	10	0	0	15	8	1	5	1	2	2	10	5	4	9	9	0	6
RNU6-674P	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
RNU6-675P	3	1	0	4	1	110	0	0	17	17	2	13	36	4	17	3	23	0	1	5
RNU6-677P	2	9	25	5	14	0	6	6	0	0	0	16	1	19	1	0	1	6	0	2
RNU6-678P	0	0	1	1	3	0	3	6	0	1	2	1	0	5	1	0	0	0	4	0
RNU6-679P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-67P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-680P	6	4	2	6	7	0	4	3	2	1	0	9	3	7	1	1	1	1	4	2
RNU6-681P	78	48	41	43	70	79	33	31	54	61	8	19	22	48	67	13	42	58	65	24
RNU6-682P	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
RNU6-684P	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-685P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-686P	4	0	1	0	0	0	0	0	2	0	2	3	3	0	1	2	0	0	1	0
RNU6-687P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-689P	27	5	7	11	4	16	7	0	4	3	0	10	7	14	5	3	4	14	14	3
RNU6-68P	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-690P	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-692P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-693P	4	0	0	2	0	0	1	0	1	16	2	1	0	0	1	4	0	0	1	0
RNU6-694P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-695P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-696P	1	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	1
RNU6-697P	5	0	0	2	0	0	1	0	0	0	0	2	0	4	0	0	0	0	1	0
RNU6-698P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-699P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-6P	3	2	1	3	4	0	3	4	8	1	28	6	30	1	1	1	1	2	1	1
RNU6-7	4	1	1	5	1	0	0	4	1	0	6	1	8	1	0	2	0	1	2	0
RNU6-700P	0	1	2	0	0	0	1	7	0	0	2	0	0	4	0	0	0	1	0	0
RNU6-701P	7	8	5	11	12	12	5	5	7	7	3	3	7	20	1	4	5	12	4	5
RNU6-702P	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
RNU6-703P	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RNU6-704P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-705P	2	1	7	4	1	0	0	6	0	0	0	1	1	8	0	0	4	5	0	4
RNU6-706P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-707P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-708P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-709P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-70P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RNU6-710P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-711P	21	24	17	21	30	41	17	32	15	25	3	34	27	32	33	20	13	34	20	15
RNU6-712P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-713P	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0
RNU6-714P	3	1	0	0	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0
RNU6-715P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-716P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-717P	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-718P	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RNU6-719P	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RNU6-71P	0	0	0	0	0	0	1	7	0	2	0	0	0	9	0	0	0	2	0	3
RNU6-720P	28	22	32	36	27	0	38	23	54	10	8	20	19	36	31	13	20	16	28	11
RNU6-721P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-722P	8	5	9	13	3	30	11	0	8	13	7	21	23	10	4	9	10	1	6	4
RNU6-723P	13	8	5	4	3	0	0	8	0	2	0	3	0	6	0	4	0	0	0	0
RNU6-724P	5	1	0	2	0	0	7	0	0	0	0	0	7	1	0	0	0	0	0	0
RNU6-725P	0	7	110	0	2	0	0	7	0	0	0	0	0	1	0	0	1	0	0	1
RNU6-726P	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	2	2	1	0	0
RNU6-727P	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	1
RNU6-728P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-729P	6	6	9	13	3	7	6	0	2	14	12	6	9	5	3	6	1	8	5	2
RNU6-72P	1	11	10	4	4	52	7	0	5	15	2	9	7	1	11	14	7	6	0	3
RNU6-730P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-731P	5	7	5	10	7	0	4	10	15	4	4	22	10	8	10	10	11	17	6	19
RNU6-732P	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-733P	0	2	17	9	1	0	17	11	3	3	2	7	3	4	5	12	14	7	6	5
RNU6-735P	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RNU6-737P	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-738P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-739P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-73P	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RNU6-740P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
RNU6-741P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-742P	4	3	0	4	4	0	0	5	0	0	0	1	0	4	0	1	5	5	0	0
RNU6-743P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-744P	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
RNU6-745P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-746P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RNU6-747P	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
RNU6-748P	0	0	2	2	1	0	5	0	0	2	2	2	3	12	2	2	4	2	3	1
RNU6-749P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-74P	4	7	4	2	4	0	3	6	1	0	1	6	4	9	4	5	2	6	6	4
RNU6-750P	6	13	4	9	4	6	9	3	12	4	6	22	13	19	8	14	10	6	16	16
RNU6-751P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-752P	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
RNU6-753P	0	1	0	1	0	0	3	0	0	5	1	0	1	5	5	8	0	0	0	0
RNU6-754P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-755P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
RNU6-756P	1	2	0	1	0	3	2	0	0	2	4	1	0	0	1	0	0	2	3	0
RNU6-757P	21	17	5	44	18	61	8	6	22	27	6	11	21	11	16	21	23	9	14	22
RNU6-758P	1	1	0	0	0	1	1	0	2	0	1	3	2	1	0	0	0	1	0	0
RNU6-759P	8	7	7	10	10	0	3	1	3	6	8	6	18	12	3	5	2	4	5	10
RNU6-75P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-760P	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
RNU6-761P	44	13	66	12	35	10	4	18	49	8	12	23	18	44	19	79	24	28	30	8
RNU6-762P	22	15	6	3	4	1	4	2	10	11	5	9	17	14	8	2	7	6	12	5
RNU6-763P	2	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	0	0
RNU6-764P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RNU6-765P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-766P	2	25	26	28	46	38	22	9	17	30	5	15	6	72	51	11	18	30	32	15
RNU6-767P	2	2	4	8	2	41	1	0	1	0	1	15	4	6	0	2	1	4	2	3
RNU6-768P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-769P	9	13	9	8	30	4	6	6	8	4	6	16	9	15	13	4	3	8	10	7
RNU6-76P	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
RNU6-770P	0	7	3	0	3	0	0	0	0	2	1	1	1	4	0	0	1	4	0	0
RNU6-771P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-772P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-774P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-775P	2	1	0	0	0	8	1	0	0	0	0	1	0	0	0	0	0	0	0	0
RNU6-776P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-777P	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RNU6-778P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-77P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-780P	71	85	30	70	87	335	71	11	96	108	44	49	132	67	126	63	76	61	102	68
RNU6-781P	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0
RNU6-782P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-783P	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-784P	3	0	1	0	0	0	0	0	2	0	0	2	0	2	0	0	1	1	2	1
RNU6-785P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-786P	15	21	3	5	2	18	3	2	23	2	5	12	30	3	8	20	24	23	15	27
RNU6-787P	23	31	7	20	11	26	8	4	21	12	1	10	40	17	14	14	30	8	12	35
RNU6-788P	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
RNU6-789P	20	14	17	55	11	152	17	10	27	54	11	70	29	16	24	52	40	4	16	41
RNU6-78P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-790P	18	4	9	4	3	21	4	0	45	12	4	1	35	3	6	13	1	2	1	7
RNU6-791P	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
RNU6-792P	0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	1	3	0	1	2
RNU6-793P	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-794P	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
RNU6-795P	16	17	4	8	26	21	17	7	11	30	4	7	37	23	30	29	13	7	32	4
RNU6-796P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
RNU6-797P	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-798P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-799P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-79P	0	3	4	3	2	0	0	0	4	7	1	7	9	17	10	2	2	3	3	0
RNU6-8	0	2	0	0	1	0	0	1	3	2	5	2	4	0	0	2	1	3	2	0
RNU6-800P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-801P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-803P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-804P	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-805P	1	10	14	16	8	0	23	5	10	17	15	10	12	13	13	14	15	4	16	12
RNU6-806P	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-807P	24	19	17	20	44	0	21	8	19	25	29	63	49	21	20	40	11	18	44	13
RNU6-808P	12	15	2	9	7	8	0	0	3	7	1	9	2	3	8	3	4	6	4	9
RNU6-809P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-80P	11	5	1	0	1	0	2	3	2	0	2	8	5	3	3	1	3	0	4	3
RNU6-810P	4	0	0	0	1	0	1	0	3	0	4	1	2	0	0	0	0	0	0	0
RNU6-811P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-812P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-813P	1	0	0	2	0	0	1	0	0	0	0	4	0	1	0	1	0	0	0	0
RNU6-815P	1	1	0	0	2	5	1	0	2	1	0	7	1	0	0	2	1	0	2	3
RNU6-816P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-817P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-818P	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RNU6-819P	0	0	0	0	14	0	2	0	0	13	0	0	0	2	12	0	1	4	0	1
RNU6-81P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-820P	0	1	0	1	2	0	0	0	0	0	0	9	1	3	0	1	2	1	1	2
RNU6-821P	2	1	3	1	0	0	4	0	2	0	0	2	1	0	0	1	0	5	25	0
RNU6-822P	1	0	0	1	1	0	2	3	0	1	0	6	0	1	0	0	0	0	0	1
RNU6-823P	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
RNU6-824P	20	35	10	6	16	34	12	14	6	15	4	21	15	11	15	20	16	24	9	10
RNU6-826P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
RNU6-827P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-828P	8	20	8	10	19	30	9	7	8	2	5	7	8	10	10	4	15	14	5	8
RNU6-829P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-82P	52	131	50	50	67	206	55	6	40	62	11	56	37	57	60	34	58	63	48	44
RNU6-830P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-831P	0	0	1	3	0	0	3	10	0	0	0	0	0	3	0	0	1	0	0	0
RNU6-832P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-833P	2	2	6	1	3	0	0	6	1	1	1	7	1	7	2	2	2	0	0	3
RNU6-834P	0	2	1	4	4	0	0	0	2	1	0	9	1	12	0	0	2	0	1	0
RNU6-835P	0	0	0	3	0	7	1	0	5	12	30	15	2	1	0	12	4	0	0	1
RNU6-836P	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
RNU6-837P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-838P	7	6	11	4	7	73	4	0	5	14	0	17	11	14	1	0	1	6	5	2
RNU6-839P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-83P	0	0	0	0	0	0	0	4	6	2	1	8	1	0	0	1	1	3	0	2
RNU6-840P	7	15	7	12	13	0	5	4	7	4	4	4	9	34	1	2	17	6	4	2
RNU6-841P	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RNU6-842P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-843P	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-844P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-845P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-847P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-848P	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-849P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-84P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-850P	9	26	40	43	43	33	71	0	1	16	11	6	20	57	13	10	17	19	31	12
RNU6-851P	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
RNU6-853P	0	1	10	2	1	0	0	0	4	0	1	0	0	7	0	0	1	3	2	3
RNU6-854P	16	19	6	19	18	9	14	5	12	35	3	12	19	3	22	23	3	27	14	10
RNU6-855P	5	8	12	1	16	22	14	8	6	2	1	3	5	16	8	3	12	6	4	7
RNU6-856P	15	8	13	10	9	4	6	10	12	4	13	16	15	15	1	2	6	6	7	3
RNU6-857P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-858P	0	1	3	0	1	0	0	0	0	0	1	3	0	1	0	0	0	0	0	1
RNU6-859P	61	18	52	29	9	28	38	5	31	26	20	15	28	2	24	15	14	14	4	30
RNU6-85P	11	9	6	11	4	14	5	8	6	7	6	3	14	7	11	9	15	3	9	7
RNU6-860P	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
RNU6-861P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RNU6-862P	10	29	16	17	13	16	13	3	24	24	3	22	11	18	22	7	12	15	21	24
RNU6-863P	0	0	0	0	0	7	1	0	0	13	0	2	0	0	4	0	0	0	1	0
RNU6-864P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-865P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-866P	9	21	14	5	13	0	10	6	15	6	2	3	14	11	13	6	14	9	7	18
RNU6-867P	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-869P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-86P	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RNU6-871P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-873P	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RNU6-874P	1	0	0	6	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2
RNU6-875P	12	51	15	53	19	38	36	1	13	59	19	19	23	35	50	75	30	22	45	23
RNU6-876P	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
RNU6-877P	19	46	24	18	37	80	21	26	20	55	10	14	25	32	40	21	13	56	31	24
RNU6-878P	11	49	45	24	30	0	38	26	4	4	8	9	19	41	5	7	6	16	6	7
RNU6-879P	11	33	41	31	40	0	18	28	8	11	10	19	14	56	6	8	20	17	11	8
RNU6-87P	13	6	6	6	35	0	13	14	30	6	4	10	12	12	45	5	10	24	20	3
RNU6-880P	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
RNU6-881P	13	14	7	16	2	6	23	0	9	16	4	13	3	33	32	8	17	5	12	25
RNU6-882P	1	0	0	0	0	0	2	0	1	2	0	1	2	1	2	2	0	1	8	0
RNU6-883P	2	3	2	3	6	0	6	3	1	1	0	0	0	4	1	1	0	2	4	0
RNU6-884P	2	2	1	3	7	0	5	0	4	2	0	5	1	0	1	0	2	5	5	0
RNU6-885P	0	0	0	0	1	0	0	0	0	0	2	1	1	7	0	0	0	0	1	0
RNU6-886P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-887P	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-888P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-889P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-88P	2	1	31	9	18	0	1	14	0	1	6	22	1	32	2	4	0	13	1	3
RNU6-890P	48	27	48	33	43	22	29	9	45	14	17	50	29	29	37	26	9	38	17	8
RNU6-891P	5	4	2	3	2	0	0	2	0	0	1	0	3	3	3	0	1	3	2	1
RNU6-892P	2	14	1	23	0	16	17	0	48	42	9	33	23	9	23	13	19	7	4	14
RNU6-893P	4	10	7	5	6	0	6	0	1	2	1	10	5	16	5	1	11	4	6	5
RNU6-894P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-895P	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-896P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-897P	12	4	9	10	9	4	8	0	3	2	1	9	3	20	4	4	8	4	12	7
RNU6-898P	0	0	1	2	0	0	5	7	0	0	1	2	2	5	0	0	4	0	0	1
RNU6-899P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
RNU6-89P	3	7	6	2	3	4	2	0	3	11	1	0	2	5	6	13	4	4	1	8
RNU6-9	6	13	24	15	2	13	13	21	15	8	36	17	49	8	2	3	3	8	1	3
RNU6-900P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-901P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-902P	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
